model,source,accuracy,n
claude-haiku-4-5-20251001,hotpotqa,0.5535,6000
claude-haiku-4-5-20251001,musique,0.322,6000
claude-haiku-4-5-20251001,squad,0.546,3000
claude-sonnet-4-6,hotpotqa,0.44183333333333336,6000
claude-sonnet-4-6,musique,0.3905,6000
claude-sonnet-4-6,squad,0.4716666666666667,3000
deepseek-chat,hotpotqa,0.6546666666666666,6000
deepseek-chat,musique,0.3323333333333333,6000
deepseek-chat,squad,0.721,3000
deepseek-reasoner,hotpotqa,0.22533333333333333,6000
deepseek-reasoner,musique,0.16,6000
deepseek-reasoner,squad,0.38266666666666665,3000
gemini-2.5-flash,hotpotqa,0.11066666666666666,6000
gemini-2.5-flash,musique,0.058,6000
gemini-2.5-flash,squad,0.30566666666666664,3000
gpt-5.4-medium,hotpotqa,0.81,6000
gpt-5.4-medium,musique,0.6131666666666666,6000
gpt-5.4-medium,squad,0.8346666666666667,3000
gpt-5.4-mini,hotpotqa,0.6468333333333334,6000
gpt-5.4-mini,musique,0.3065,6000
gpt-5.4-mini,squad,0.646,3000
