model,variant,accuracy,n
claude-haiku-4-5-20251001,conflict_before_correct,0.48,2500
claude-haiku-4-5-20251001,correct_before_conflict,0.4128,2500
claude-haiku-4-5-20251001,correct_end,0.4712,2500
claude-haiku-4-5-20251001,correct_front,0.44,2500
claude-haiku-4-5-20251001,correct_middle,0.4192,2500
claude-haiku-4-5-20251001,distractor_dominant,0.5332,2500
claude-sonnet-4-6,conflict_before_correct,0.4304,2500
claude-sonnet-4-6,correct_before_conflict,0.4228,2500
claude-sonnet-4-6,correct_end,0.4372,2500
claude-sonnet-4-6,correct_front,0.424,2500
claude-sonnet-4-6,correct_middle,0.422,2500
claude-sonnet-4-6,distractor_dominant,0.4272,2500
deepseek-chat,conflict_before_correct,0.4732,2500
deepseek-chat,correct_before_conflict,0.5172,2500
deepseek-chat,correct_end,0.4784,2500
deepseek-chat,correct_front,0.602,2500
deepseek-chat,correct_middle,0.5264,2500
deepseek-chat,distractor_dominant,0.6368,2500
deepseek-reasoner,conflict_before_correct,0.1728,2500
deepseek-reasoner,correct_before_conflict,0.1752,2500
deepseek-reasoner,correct_end,0.1716,2500
deepseek-reasoner,correct_front,0.1844,2500
deepseek-reasoner,correct_middle,0.1744,2500
deepseek-reasoner,distractor_dominant,0.5056,2500
gemini-2.5-flash,conflict_before_correct,0.084,2500
gemini-2.5-flash,correct_before_conflict,0.0968,2500
gemini-2.5-flash,correct_end,0.0828,2500
gemini-2.5-flash,correct_front,0.132,2500
gemini-2.5-flash,correct_middle,0.0976,2500
gemini-2.5-flash,distractor_dominant,0.2784,2500
gpt-5.4-medium,conflict_before_correct,0.7256,2500
gpt-5.4-medium,correct_before_conflict,0.736,2500
gpt-5.4-medium,correct_end,0.7328,2500
gpt-5.4-medium,correct_front,0.74,2500
gpt-5.4-medium,correct_middle,0.728,2500
gpt-5.4-medium,distractor_dominant,0.7548,2500
gpt-5.4-mini,conflict_before_correct,0.4456,2500
gpt-5.4-mini,correct_before_conflict,0.4604,2500
gpt-5.4-mini,correct_end,0.5008,2500
gpt-5.4-mini,correct_front,0.5492,2500
gpt-5.4-mini,correct_middle,0.4324,2500
gpt-5.4-mini,distractor_dominant,0.6748,2500
