model,position,accuracy,n
claude-haiku-4-5-20251001,E1,0.44,2500
claude-haiku-4-5-20251001,E2,0.4128,2500
claude-haiku-4-5-20251001,E3,0.4192,2500
claude-haiku-4-5-20251001,E5,0.5066,5000
claude-haiku-4-5-20251001,E6,0.4712,2500
claude-sonnet-4-6,E1,0.424,2500
claude-sonnet-4-6,E2,0.4228,2500
claude-sonnet-4-6,E3,0.422,2500
claude-sonnet-4-6,E5,0.4288,5000
claude-sonnet-4-6,E6,0.4372,2500
deepseek-chat,E1,0.602,2500
deepseek-chat,E2,0.5172,2500
deepseek-chat,E3,0.5264,2500
deepseek-chat,E5,0.555,5000
deepseek-chat,E6,0.4784,2500
deepseek-reasoner,E1,0.1844,2500
deepseek-reasoner,E2,0.1752,2500
deepseek-reasoner,E3,0.1744,2500
deepseek-reasoner,E5,0.3392,5000
deepseek-reasoner,E6,0.1716,2500
gemini-2.5-flash,E1,0.132,2500
gemini-2.5-flash,E2,0.0968,2500
gemini-2.5-flash,E3,0.0976,2500
gemini-2.5-flash,E5,0.1812,5000
gemini-2.5-flash,E6,0.0828,2500
gpt-5.4-medium,E1,0.74,2500
gpt-5.4-medium,E2,0.736,2500
gpt-5.4-medium,E3,0.728,2500
gpt-5.4-medium,E5,0.7402,5000
gpt-5.4-medium,E6,0.7328,2500
gpt-5.4-mini,E1,0.5492,2500
gpt-5.4-mini,E2,0.4604,2500
gpt-5.4-mini,E3,0.4324,2500
gpt-5.4-mini,E5,0.5602,5000
gpt-5.4-mini,E6,0.5008,2500
