model,task_type,n,accuracy,ear,ceu
claude-haiku-4-5-20251001,compositional,3066,0.4299,0.5871,0.6915
claude-haiku-4-5-20251001,entity,7026,0.4902,0.5235,0.6887
claude-haiku-4-5-20251001,numerical,1254,0.4171,0.5766,0.7073
claude-haiku-4-5-20251001,other,912,0.4200,0.5888,0.7138
claude-haiku-4-5-20251001,temporal,2742,0.4460,0.5711,0.6977
claude-sonnet-4-6,compositional,3066,0.4426,0.5558,0.5297
claude-sonnet-4-6,entity,7026,0.4286,0.5743,0.4821
claude-sonnet-4-6,numerical,1254,0.4713,0.5287,0.5287
claude-sonnet-4-6,other,912,0.4112,0.5789,0.5285
claude-sonnet-4-6,temporal,2742,0.3920,0.6094,0.4442
deepseek-chat,compositional,3066,0.4765,0.5665,0.7476
deepseek-chat,entity,7026,0.5821,0.4680,0.8120
deepseek-chat,numerical,1254,0.6236,0.3852,0.8804
deepseek-chat,other,912,0.4825,0.5526,0.8125
deepseek-chat,temporal,2742,0.4785,0.5689,0.7356
deepseek-reasoner,compositional,3066,0.1993,0.8591,0.2538
deepseek-reasoner,entity,7026,0.2337,0.8305,0.2741
deepseek-reasoner,numerical,1254,0.2998,0.7153,0.3557
deepseek-reasoner,other,912,0.1689,0.8783,0.2478
deepseek-reasoner,temporal,2742,0.2469,0.8107,0.2830
gemini-2.5-flash,compositional,3066,0.0822,0.9540,0.0463
gemini-2.5-flash,entity,7026,0.1375,0.9078,0.0861
gemini-2.5-flash,numerical,1254,0.2305,0.8014,0.1826
gemini-2.5-flash,other,912,0.1064,0.9276,0.0395
gemini-2.5-flash,temporal,2742,0.1185,0.9081,0.0985
gpt-5.4-medium,compositional,3066,0.6957,0.3043,0.9028
gpt-5.4-medium,entity,7026,0.7435,0.2664,0.8864
gpt-5.4-medium,numerical,1254,0.7576,0.2177,0.9211
gpt-5.4-medium,other,912,0.6897,0.3092,0.9331
gpt-5.4-medium,temporal,2742,0.7684,0.2473,0.8920
gpt-5.4-mini,compositional,3066,0.4583,0.6008,0.6686
gpt-5.4-mini,entity,7026,0.5559,0.4953,0.7208
gpt-5.4-mini,numerical,1254,0.5726,0.4833,0.7432
gpt-5.4-mini,other,912,0.5186,0.5559,0.7884
gpt-5.4-mini,temporal,2742,0.4216,0.6455,0.6193
