sample_id,source,from_phase_a,topical_llm,plausible_llm,contradictory_llm
hotpotqa_0463,hotpotqa,fail,yes,yes,yes
hotpotqa_0862,hotpotqa,fail,yes,yes,no
hotpotqa_0250,hotpotqa,fail,yes,yes,yes
hotpotqa_0233,hotpotqa,fail,yes,yes,yes
musique_0794,musique,fail,yes,yes,yes
squad_0286,squad,fail,yes,yes,yes
hotpotqa_0209,hotpotqa,fail,yes,yes,yes
hotpotqa_0230,hotpotqa,fail,yes,yes,yes
hotpotqa_0504,hotpotqa,fail,yes,yes,yes
hotpotqa_0354,hotpotqa,fail,yes,yes,yes
hotpotqa_0031,hotpotqa,fail,yes,yes,yes
musique_0366,musique,fail,yes,yes,yes
squad_0350,squad,fail,yes,yes,yes
musique_0139,musique,fail,yes,yes,yes
hotpotqa_0201,hotpotqa,fail,yes,yes,yes
hotpotqa_0241,hotpotqa,fail,yes,yes,no
musique_0829,musique,fail,yes,yes,yes
musique_0508,musique,fail,yes,yes,yes
squad_0492,squad,fail,yes,yes,yes
musique_0008,musique,fail,yes,yes,yes
musique_0856,musique,fail,yes,yes,yes
hotpotqa_0732,hotpotqa,fail,yes,yes,yes
squad_0293,squad,fail,yes,yes,yes
squad_0457,squad,fail,yes,yes,yes
hotpotqa_0479,hotpotqa,fail,yes,yes,yes
musique_0707,musique,fail,yes,yes,yes
hotpotqa_0756,hotpotqa,fail,yes,yes,yes
hotpotqa_0467,hotpotqa,fail,yes,yes,yes
squad_0335,squad,fail,yes,yes,yes
hotpotqa_0283,hotpotqa,fail,yes,yes,yes
squad_0353,squad,fail,yes,yes,yes
squad_0269,squad,fail,yes,yes,yes
hotpotqa_0486,hotpotqa,fail,yes,yes,yes
hotpotqa_0708,hotpotqa,fail,yes,yes,yes
squad_0481,squad,fail,yes,yes,yes
musique_0538,musique,fail,yes,yes,yes
squad_0135,squad,fail,yes,yes,yes
hotpotqa_0037,hotpotqa,fail,yes,yes,yes
squad_0263,squad,fail,yes,yes,yes
squad_0294,squad,fail,yes,yes,yes
hotpotqa_0576,hotpotqa,fail,yes,yes,yes
squad_0280,squad,fail,yes,yes,yes
squad_0309,squad,fail,yes,yes,yes
squad_0297,squad,fail,yes,yes,yes
musique_0997,musique,fail,yes,yes,yes
hotpotqa_0543,hotpotqa,fail,yes,yes,yes
squad_0449,squad,fail,yes,yes,yes
squad_0363,squad,fail,yes,yes,yes
hotpotqa_0529,hotpotqa,fail,yes,yes,yes
hotpotqa_0408,hotpotqa,fail,yes,yes,yes
musique_0816,musique,fail,yes,yes,yes
squad_0275,squad,fail,yes,yes,yes
musique_0903,musique,fail,yes,yes,yes
squad_0427,squad,fail,yes,yes,yes
squad_0421,squad,fail,yes,yes,yes
hotpotqa_0315,hotpotqa,fail,yes,no,yes
hotpotqa_0425,hotpotqa,fail,yes,yes,yes
hotpotqa_0167,hotpotqa,fail,yes,yes,yes
hotpotqa_0656,hotpotqa,fail,yes,yes,yes
squad_0270,squad,fail,yes,yes,yes
squad_0462,squad,fail,yes,yes,yes
musique_0056,musique,fail,yes,yes,yes
hotpotqa_0635,hotpotqa,fail,yes,yes,yes
hotpotqa_0763,hotpotqa,fail,yes,yes,no
hotpotqa_0470,hotpotqa,fail,yes,yes,yes
musique_0722,musique,fail,yes,yes,no
squad_0179,squad,fail,yes,yes,yes
musique_0368,musique,fail,yes,yes,yes
squad_0488,squad,fail,yes,yes,yes
squad_0348,squad,fail,yes,yes,yes
squad_0306,squad,fail,yes,yes,yes
squad_0282,squad,fail,yes,yes,yes
squad_0454,squad,fail,yes,yes,yes
squad_0283,squad,fail,yes,yes,yes
musique_0260,musique,fail,yes,yes,yes
musique_0400,musique,fail,yes,yes,yes
hotpotqa_0952,hotpotqa,fail,yes,yes,yes
squad_0329,squad,fail,yes,yes,yes
musique_0918,musique,fail,yes,yes,yes
musique_0973,musique,fail,yes,yes,yes
squad_0429,squad,fail,yes,yes,yes
hotpotqa_0217,hotpotqa,fail,yes,yes,yes
hotpotqa_0931,hotpotqa,fail,yes,yes,yes
hotpotqa_0311,hotpotqa,fail,yes,yes,yes
squad_0364,squad,fail,yes,yes,yes
hotpotqa_0436,hotpotqa,fail,yes,yes,yes
squad_0439,squad,fail,yes,yes,yes
hotpotqa_0850,hotpotqa,fail,yes,yes,no
musique_0719,musique,fail,yes,yes,yes
hotpotqa_0352,hotpotqa,fail,yes,yes,yes
musique_0871,musique,fail,yes,yes,yes
