model,metric,n_pairs,baseline,conflict_aware,delta,p_value,ci_lo,ci_hi,significant
gpt-5.4-medium,ACC,300,0.7383,0.8017,+0.0633,0.0010,+0.0316,+0.0983,yes
gpt-5.4-medium,PBR,223,0.1166,0.1031,-0.0135,0.4640,-0.0448,+0.0179,no
gpt-5.4-medium,CAR,271,0.8303,0.8487,+0.0185,0.1190,-0.0037,+0.0406,no
gpt-5.4-medium,EAR,224,0.1205,0.1138,-0.0067,0.5980,-0.0290,+0.0156,no
gpt-5.4-medium,CEU,275,0.9691,0.9709,+0.0018,0.8530,-0.0091,+0.0127,no
deepseek-chat,ACC,300,0.5233,0.5267,+0.0033,0.8920,-0.0317,+0.0367,no
deepseek-chat,PBR,239,0.2971,0.2552,-0.0418,0.0180,-0.0754,-0.0126,yes
deepseek-chat,CAR,288,0.5538,0.5851,+0.0312,0.0470,+0.0000,+0.0608,yes
deepseek-chat,EAR,239,0.2531,0.2259,-0.0272,0.0390,-0.0502,-0.0021,yes
deepseek-chat,CEU,292,0.8202,0.7346,-0.0856,0.0000,-0.1182,-0.0548,yes
gpt-5.4-mini,ACC,300,0.4767,0.5567,+0.0800,0.0010,+0.0450,+0.1150,yes
gpt-5.4-mini,PBR,235,0.3319,0.2596,-0.0723,0.0050,-0.1191,-0.0212,yes
gpt-5.4-mini,CAR,286,0.2692,0.4213,+0.1521,0.0000,+0.1101,+0.1906,yes
gpt-5.4-mini,EAR,235,0.3106,0.2596,-0.0511,0.0090,-0.0851,-0.0170,yes
gpt-5.4-mini,CEU,290,0.6776,0.7086,+0.0310,0.1000,-0.0052,+0.0655,no
claude-haiku-4-5-20251001,ACC,300,0.4500,0.6283,+0.1783,0.0000,+0.1333,+0.2217,yes
claude-haiku-4-5-20251001,PBR,180,0.1778,0.1722,-0.0056,0.8660,-0.0389,+0.0278,no
claude-haiku-4-5-20251001,CAR,219,0.4201,0.5365,+0.1164,0.0000,+0.0890,+0.1507,yes
claude-haiku-4-5-20251001,EAR,181,0.2044,0.1823,-0.0221,0.1530,-0.0497,+0.0055,no
claude-haiku-4-5-20251001,CEU,223,0.9126,0.9238,+0.0112,0.3270,-0.0090,+0.0336,no
claude-sonnet-4-6,ACC,300,0.4683,0.8450,+0.3767,0.0000,+0.3166,+0.4367,yes
claude-sonnet-4-6,PBR,121,0.0661,0.0413,-0.0248,0.1370,-0.0579,+0.0000,no
claude-sonnet-4-6,CAR,162,0.8333,0.8580,+0.0247,0.1090,-0.0031,+0.0525,no
claude-sonnet-4-6,EAR,132,0.0720,0.0530,-0.0189,0.1980,-0.0455,+0.0038,no
claude-sonnet-4-6,CEU,163,0.9908,0.9816,-0.0092,0.2640,-0.0245,+0.0031,no
deepseek-reasoner,ACC,300,0.1667,0.5017,+0.3350,0.0000,+0.2817,+0.3833,yes
deepseek-reasoner,PBR,84,0.2619,0.2381,-0.0238,0.4340,-0.0714,+0.0238,no
deepseek-reasoner,CAR,134,0.4291,0.7425,+0.3134,0.0000,+0.2425,+0.3881,yes
deepseek-reasoner,EAR,110,0.2273,0.1864,-0.0409,0.0680,-0.0864,+0.0000,no
deepseek-reasoner,CEU,134,0.5560,0.8470,+0.2910,0.0000,+0.2164,+0.3695,yes
gemini-2.5-flash,ACC,300,0.0817,0.2983,+0.2167,0.0000,+0.1700,+0.2650,yes
gemini-2.5-flash,PBR,18,0.1111,0.1111,+0.0000,1.0000,-0.1667,+0.1667,no
gemini-2.5-flash,CAR,35,0.3429,0.7714,+0.4286,0.0000,+0.2714,+0.5857,yes
gemini-2.5-flash,EAR,27,0.1852,0.1852,+0.0000,1.0000,-0.1111,+0.1111,no
gemini-2.5-flash,CEU,35,0.3857,0.9429,+0.5571,0.0000,+0.3996,+0.7004,yes
