model,condition,n,Acc,PBR,CAR,EAR,CEU
gpt-5.4-medium,baseline,600,0.7383,0.1733,0.7500,0.1767,0.8867
gpt-5.4-medium,conflict_aware,600,0.8017,0.2000,0.8333,0.1983,0.9733
gpt-5.4-mini,baseline,600,0.4767,0.5067,0.2567,0.4900,0.6550
gpt-5.4-mini,conflict_aware,600,0.5567,0.4533,0.4183,0.4433,0.7100
gpt-5.4-mini,shuffle_majority,600,0.5300,0.4567,0.3800,0.4700,0.8483
claude-haiku-4-5-20251001,baseline,600,0.4500,0.2567,0.3067,0.2933,0.6783
claude-haiku-4-5-20251001,conflict_aware,600,0.6283,0.3367,0.5283,0.3633,0.9217
claude-sonnet-4-6,baseline,600,0.4683,0.0700,0.4433,0.0733,0.5367
claude-sonnet-4-6,conflict_aware,600,0.8450,0.1233,0.8317,0.1267,0.9517
gemini-2.5-flash,baseline,600,0.0817,0.5100,0.0367,0.5083,0.0400
gemini-2.5-flash,conflict_aware,600,0.2983,0.0633,0.2917,0.0683,0.3483
deepseek-chat,baseline,600,0.5233,0.4633,0.5300,0.4483,0.7967
deepseek-chat,conflict_aware,600,0.5267,0.4733,0.5833,0.4733,0.7367
deepseek-chat,shuffle_majority,600,0.5217,0.4533,0.6367,0.4617,0.9050
deepseek-reasoner,baseline,600,0.1667,0.1800,0.1350,0.1850,0.1833
deepseek-reasoner,conflict_aware,600,0.5017,0.4167,0.7167,0.4217,0.8033
